"user","viz","speed","difficulty"
"7kwt7pEsqN4qM28QR","series",134.268,"medium"
"7rxAoRJmJHaX26cqT","series",38.38425,"medium"
"83NZFPecaGdFaxyyt","series",41.944,"medium"
"8mqew4zMANoi4fjsz","series",90.43,"medium"
"9bnFuHDpLcZFdwqxW","series",39.69475,"medium"
"BgpK75C5uxeoHow2C","series",38.35,"medium"
"CBdaPJBEBq2xTJvgi","series",23.5175,"medium"
"CzQsYF2oyREYEL3px","series",28.3645,"medium"
"DAK7qCYagGXaKmTZy","series",45.8105,"medium"
"DpfKW34oXPR9XvjKQ","series",91.15625,"medium"
"EB2LaCrRfSNBuQ4vZ","series",36.142,"medium"
"EbtiYzqZtKd68LSjv","series",51.77075,"medium"
"Eqn4ype3Z9xvpy6jD","series",76.147,"medium"
"FMACGWEb2mpFmzcy8","series",36.89675,"medium"
"FTWQdHzfYQebiCvue","series",41.5525,"medium"
"FqCqdGdj9BARepSne","series",31.135,"medium"
"HR5hGs4XkMDoDYfhQ","series",63.32825,"medium"
"HStqpovWTqfwSwfpC","series",45.48225,"medium"
"HSzZRx9bSdXWiRdLk","series",34.467,"medium"
"HYLe8iN7tKsJQZQjt","series",52.60825,"medium"
"HpKs8JeagNQCAHcYx","series",31.04675,"medium"
"HttjEXro9w8B2reDD","series",57.63375,"medium"
"JqfvicGQJXeeKRJ64","series",65.0145,"medium"
"JtNC5LZmmsmt7BrXm","series",56.0645,"medium"
"KBG93DoQC4YeksP73","series",38.37325,"medium"
"KDkcqMDJgbEfuyecm","series",41.34775,"medium"
"KSaHABwnWq7vMF8ud","series",42.18675,"medium"
"KXyDP5KMrmHR7bWvw","series",34.483,"medium"
"KeeScEwzE7d7Y8pjM","series",48.05125,"medium"
"Ks7TdoNZwHMhapYuY","series",48.19025,"medium"
"L6hhWSmzt5Gre4bMc","series",51.04475,"medium"
"NLnWB24ANhreeNFuh","series",40.57875,"medium"
"NZrcevWgubZ6E9Lc4","series",55.29525,"medium"
"NisupxDZ8oQayBpB5","series",26.97,"medium"
"NzaXeMLv7jexivZFF","series",127.2925,"medium"
"SQHrrqMRPZPWfD6d3","series",48.11225,"medium"
"SphgvbbrKkYNYaWNd","series",51.2475,"medium"
"TJadZckir3gGdGQj9","series",71.24825,"medium"
"TZKHo2T9ywkiKhPyX","series",44.608,"medium"
"TbhJt2kCMtWXJ387e","series",49.05125,"medium"
"W7XciYuzprjnwgbTP","series",43.56025,"medium"
"WW9zqyfyPHjFS6fPR","series",40.18575,"medium"
"We3Btupw8RnuCSnYC","series",49.34425,"medium"
"YDbqWAi595CRKxbjf","series",65.25625,"medium"
"YJzWPZRYPHG3rRrBw","series",35.07825,"medium"
"YSX6542MwRYTZdDFW","series",60.2915,"medium"
